,Região,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
116, Tianguá,2017,0.08979163988590995,0.6872291041520886,0.2224640042426097,0.97499884410772,0.0076583651836068705
117, Tianguá,2018,0.11510723535003294,0.6759478995724981,0.20894560568456805,0.9169810552318164,0.07824767751421502
118, Tianguá,2019,0.09658100424345151,0.6815074235156935,0.2219108779015952,0.9278053022789621,0.069805121629189
119,Acaraú,2013,0.04796278650611127,0.7470571156554433,0.20427160601695135,0.9892362066104935,0.0
120,Acaraú,2014,0.23417957208392096,1.0267613155788982,0.6013222235484997,1.5967864837971806,0.01543891713317406
121,Acaraú,2015,0.2339497590045435,1.0576819316864607,0.6532372655970172,1.6073656645333674,0.0047859473096388
122,Acaraú,2016,0.24268235952682995,1.0267849447540658,0.5461185620378085,1.6616790449575296,0.0034467117680390554
123,Acaraú,2017,0.2733902065214237,1.0131724068754302,0.5829372442882805,1.546871122535075,0.030745439774725002
124,Acaraú,2018,0.25965979694814273,1.065246106389446,0.627688920907046,1.48256296331768,0.026719161689737342
125,Acaraú,2019,0.2696334170095589,1.0661090665518935,0.6469771189839874,1.619820167969977,0.029379401772281648
126,Baturité,2013,0.1121274965789213,0.6712017031615416,0.215894284120333,0.9581137125956279,0.024943325457279293
127,Baturité,2014,0.09192415431693585,0.6641578947368422,0.2431018711806743,0.9269618061689574,0.056359961841500904
128,Baturité,2015,0.0898708715107607,0.6532319284040059,0.25606771787769017,0.9810558925701249,0.000949603359776015
129,Baturité,2016,0.14928263009289527,0.6359194261040744,0.2141478011911861,0.9616994965109089,0.019395577540264403
130,Baturité,2017,0.14714398160295095,0.6042095828253052,0.24794679209173828,1.0,0.0
131,Baturité,2018,0.13630705112541067,0.5696923244006407,0.2939980926393527,0.8907348754244944,0.10554215214333901
132,Baturité,2019,0.13673744672497104,0.5778537176945924,0.2854063847707828,0.9436369417348943,0.04708935648342664
133,Brejo Santo,2013,0.08389657888952824,0.700632721515236,0.21472091704183718,0.9375777790533764,0.05428941170277959
134,Brejo Santo,2014,0.14060496535208267,0.6344540305712981,0.22421346622799726,0.8972742480331013,0.0898953422224923
135,Brejo Santo,2015,0.16859071569626521,0.6265019076501757,0.20427900649237246,0.9833294235700747,0.0014639705652804104
136,Brejo Santo,2016,0.17066763890553682,0.653374349636885,0.1754625102028003,0.9907496467470212,0.005222905229048221
137,Brejo Santo,2017,0.12047225857948465,0.6605391803667641,0.21842086992410278,0.9854698408894056,0.006783413445170055
138,Brejo Santo,2018,0.11144920767893367,0.6488133036728532,0.23973705699554834,0.9904164457765859,0.005141010373922898
139,Brejo Santo,2019,0.12378789532935328,0.6514511971319574,0.22476060437163445,0.9926709685657131,0.005893751448284994
140,Camocim,2013,0.08188881588325798,0.692366918235696,0.22494821326455874,0.9813522793687902,0.0057263554165090935
141,Camocim,2014,0.07202769069404927,0.6929234826183454,0.23428796786175804,0.7174596653938143,0.14684187635593865
142,Camocim,2015,0.06044420225962091,0.7011735681582939,0.23764033773829796,0.8146200141741652,0.11506318788356949
143,Camocim,2016,0.07124610584622429,0.6826566910527035,0.24536242443852346,0.8185418720702065,0.1794745657133192
144,Camocim,2017,0.07836671392626382,0.6360030137800019,0.2848517809209457,0.8179840740229513,0.1293143431631844
145,Camocim,2018,0.08722791853986808,0.6556350876429519,0.2571375685817675,0.9992966890042515,0.0006231629396528877
146,Camocim,2019,0.08819412431085265,0.642242668882008,0.2695627641416811,0.9893740856066966,0.009965425748606933
147,Canindé,2013,0.0759555278854386,0.7683496670408646,0.15516267642659978,0.9359482201626759,0.05174958449653984
148,Canindé,2014,0.07335061077488583,0.7615483081886326,0.16454430582886753,0.9842385158015252,0.012979387270410314
149,Canindé,2015,0.07348012063749863,0.7635046230154346,0.16254966622051004,0.9656938471387205,0.01815435918971908
150,Canindé,2016,0.08233299490916174,0.7661795295267961,0.1510725701396707,0.9988034395445177,0.0
151,Canindé,2017,0.1325916032313239,0.7010473172643943,0.16594653350299082,0.9491551318090372,0.0468624523001255
152,Canindé,2018,0.11860742480291592,0.704629701188218,0.17676287092049991,0.9823403936155806,0.016161580076184484
153,Canindé,2019,0.10374091102483184,0.6988959201986965,0.19736255194218344,0.8770733658073524,0.12181244684608919
158,Cascavel,2013,0.10466648503939135,0.5054899054112169,0.38841911679609487,0.9900986935518105,0.005260238180394898
159,Cascavel,2014,0.12094619355178383,0.517012955391321,0.36084573065478737,0.8532027670004844,0.07660789674870715
160,Cascavel,2015,0.12690728804844584,0.5234337856899043,0.34853256884824063,0.952372901562666,0.040930637192473
161,Cascavel,2016,0.12482078853046595,0.5405254431378429,0.3336591690585329,0.9369606237516297,0.05661496567182392
162,Cascavel,2017,0.13477991026455427,0.5187857714551963,0.34549487671683715,0.9083241218794772,0.08499821448030853
163,Cascavel,2018,0.14319233444593144,0.5131663943688607,0.34364106644114956,0.9553924414162207,0.0424528067141761
164,Cascavel,2019,0.14918182032379,0.4950530237829079,0.3557664735480763,0.9520076823390525,0.045401580848740915
165,Crateús,2013,0.0558433941706973,0.7656772730564791,0.1777171342830512,0.9942580748391863,0.0006858030441879688
166,Crateús,2014,0.05249772852079277,0.7462021117268234,0.20060848741593387,0.9697778758269694,0.013883132774281924
167,Crateús,2015,0.04768615267357132,0.7291964665452226,0.2224347972388592,0.9716816591143613,0.0
168,Crateús,2016,0.05870242345969764,0.7361044471245156,0.20460533431778472,0.9761783797597751,0.020620718630207
169,Crateús,2017,0.05263968867041199,0.7115628577949438,0.23517447799625465,0.9891585071044714,0.008152315692446826
170,Crateús,2018,0.07868221940433905,0.7070009130930224,0.21431535820486008,0.9255963431210904,0.07336019407700149
171,Crateús,2019,0.08569610769277013,0.6868937731767787,0.22740964465705327,0.9926444450174167,0.0073554112698666985
172,Crato,2013,0.14910065636774344,0.5503031421923008,0.2996685912428087,0.9091235672010165,0.08748140050071737
173,Crato,2014,0.17276855934479232,0.5151795682836516,0.3112389177061381,0.8342231185259877,0.16277018975158125
174,Crato,2015,0.1803011680524474,0.5201693766334136,0.2987173476794844,0.9947148380699864,0.0
175,Crato,2016,0.1886657195706149,0.5332011809921485,0.27741819784888844,0.7992361020439305,0.19441958070559884
176,Crato,2017,0.1754093681069158,0.5302039527702088,0.2937068067990139,0.8527235892994495,0.14112759140709696
177,Crato,2018,0.2269490023881057,0.483973050034666,0.28907597642708577,0.8329442036735004,0.1630426237363685
178,Crato,2019,0.21645904530922722,0.502906940121944,0.2806303689695818,0.8555035747892475,0.1398994014531979
179,Farias Brito,2013,0.057088290112756436,0.7053747882532926,0.23667756185625788,0.9732972219338574,0.019953741407743482
180,Farias Brito,2014,0.05856207715071473,0.6775096389973599,0.26305982369733666,0.9354442848729602,0.05479463311650385
181,Farias Brito,2015,0.05876648944889073,0.6973771691954646,0.24307545058688543,0.9749545083094254,0.01387628990640316
182,Farias Brito,2016,0.04825151897216937,0.7376808937582404,0.21341506372248376,0.9331614638034307,0.06161842319706417
183,Farias Brito,2017,0.0742602433921347,0.6806403757235499,0.24442623494846577,0.927371047358214,0.06655452951867478
184,Farias Brito,2018,0.07129941645862124,0.6856643380392433,0.2430364112845757,0.9345072483376913,0.06350926342325199
185,Farias Brito,2019,0.06893716075203409,0.6757567690694838,0.25530604146461655,0.9921628958729766,0.005605162966796996
186,Icó,2013,0.06333204468237481,0.7407904990117746,0.1951989781480948,0.9674180077028803,0.02592058889438509
187,Icó,2014,0.07771862924439715,0.7264307133363997,0.1952388738980306,0.9524552090886287,0.03900766777399798
188,Icó,2015,0.099971009969567,0.7110037733397495,0.18845786684304444,0.8519950614996767,0.13845597487703695
189,Icó,2016,0.08640959245997806,0.7322768642878197,0.18079422563046935,0.9071982376951817,0.09076580290613172
190,Icó,2017,0.07365893158940806,0.747193553205378,0.1786850502348871,0.9039127134872157,0.09336666115045188
191,Icó,2018,0.08483140530150497,0.7271637727219943,0.18800431344522717,0.9202928518117132,0.07909896229025441
192,Icó,2019,0.0838597945260816,0.7252165138683628,0.19092347682139227,0.8885128121872804,0.07611203411437818
193,Iguatú,2013,0.09362092239456188,0.6836858829716831,0.2219313927518002,0.9855288809527457,0.00609075582477776
194,Iguatú,2014,0.09496238350869139,0.6788666617315487,0.22547051729584044,0.8899663784058299,0.09900583826320739
195,Iguatú,2015,0.10737961906066418,0.6780729967963351,0.21391073456000972,0.8562906324046494,0.076528593700263
196,Iguatú,2016,0.10275264154491763,0.6887465370861839,0.20792004379774148,0.9285187503222877,0.06592117089289126
197,Iguatú,2017,0.10953382723900051,0.6743880216825241,0.2155325164024098,0.9188772573545544,0.07699252626707676
198,Iguatú,2018,0.11758036975356789,0.66224492358915,0.22017508311888287,0.9809199073729429,0.01738240652311742
199,Iguatú,2019,0.10829179198616252,0.6472319050353649,0.24447647367464304,0.9952738721458242,0.0038457726408926145
200,Itapipoca,2013,0.04778180206307733,0.7606872054457045,0.19084967712906598,0.9845179036940809,0.0
201,Itapipoca,2014,0.07553658253994255,0.7505514324981922,0.17334966879347335,0.9713273850165084,0.003577899030771224
202,Itapipoca,2015,0.048991789009565384,0.7465989812630425,0.20374242295985778,0.9714693651320202,0.012061066955896895
203,Itapipoca,2016,0.05618453003188502,0.7457094837445397,0.19749768415809463,0.9703681839764896,0.014177970560681699
